		d07ctrl031	d07ctrl032	d07ctrl033	d07ctrl034	d07ctrl035	d07ctrl036	d07ctrl037	d07ctrl038	d07ctrl039	d07ctrl040	d07sub041	d07sub042	d07sub043	d07sub044	d07sub045	d07sub046	d07sub047	d07sub048	d07sub049	d07sub050	d07ther051	d07ther052	d07ther053	d07ther054	d07ther055	d07ther056	d07ther057	d07ther058	d07ther059	d07ther060	d35ctrl091	d35ctrl092	d35ctrl093	d35ctrl094	d35ctrl095	d35ctrl096	d35ctrl097	d35ctrl098	d35ctrl099	d35ctrl100	d35sub101	d35sub102	d35sub103	d35sub104	d35sub105	d35sub106	d35sub107	d35sub108	d35sub109	d35sub110	d35ther111	d35ther112	d35ther113	d35ther114	d35ther115	d35ther116	d35ther117	d35ther118	d35ther119	d35ther120	d78ctrl181	d78ctrl182	d78ctrl183	d78ctrl184	d78ctrl185	d78ctrl186	d78ctrl187	d78ctrl188	d78ctrl189	d78ex1sub	d78ex2sub	d78ex3sub	d78sub191	d78sub192	d78sub193	d78sub194	d78sub195	d78sub196	d78sub197	d78sub198	d78sub199	d78sub200	d78ther201	d78ther202	d78ther203	d78ther204	d78ther205	d78ther206	d78ther207	d78ther208	d78ther209	d78ther210
trt	ARG_name	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther
gene_1062008	mdtG	234761	63637	79625	5681	355015	28334	7885	421144	23629	225650	233731	588309	407952	30564	131496	23092	76701	633807	425806	244842	36251	227109	104437	466254	35790	89899	33904	379099	335716	386642	4802	13996	9762	20941	1	1	16208	1	3188	5460	7171	15094	6997	1	1	30632	6237	57935	1	3368	612465	16997	14274	11641	28342	10690	12895	46149	4323	24483	5464	1	6131	2232	6379	2860	1	7293	24315	9648	9837	1	29864	1	19501	1	2182	6978	1	1	1	2251	27038	138346	16729	84308	14780	10531	4239	5584	21720	8407
gene_1065706	ugd	182683	87353	54739	5973	277675	23833	1	475118	5521	190470	196599	495959	116668	29663	126129	26303	31769	597456	165454	198924	30968	169052	89579	351108	18815	77840	59411	398590	241510	276276	1	1	1	1	1	1	8521	1	1	1	1	7935	1	1	1	3578	1	8702	1	1	78673	1	1	1	2709	1	1	1	1	7722	1	1	1	1	1	1	1	1	2556	1	1	1	1	1	1281	1	1	1	1	1	1	7099	1	1	8794	4324	1	2768	1	1	2537	2210
gene_1066577	lnuC	1	1	139174	1	1	1	1	1	39771	1	1	1	1	1	1	1	1	1	1	1	1	30445	1	1	1	1	28532	1	1	1	1	1	1	1	1	1	1	1	1	1	1	28580	1	1	1	1	1	1	1	153067	1	1	54056	1	1	1	1	1	1	1	27592	1	1	1	1	1	1	82857	1	1	1	1	1	1	1	1	66093	1	1	1	1	1	1	1	1	31149	1	1	1	1	1	31837
gene_1066737	poxtA	1	1	4656	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7301	4560	1	2274	4717	3446	14375	1	16965	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20771	37511	7768	11880	27479	19566	48829	1386	16636	53785	22435	1	5676	81647	8339	1	1658	24757	54631	3397	20286	78703	1	1	1	1563	14981	1	1	1	5504	33553
gene_1086474	poxtA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2076	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1385	29614	21750	16971	9699	19566	16276	8317	11091	2445	7478	14810	11352	7776	927	16669	13268	8842	49168	3397	1	1711	1	1912	1	15632	1	1	1	12736	1835	11184
gene_1098692	poxtA	9180	18909	30832	1	8173	8914	37213	1	6608	9999	10295	23345	2054	26628	43548	26639	27788	13752	1	35014	51323	29087	5188	7929	52548	12201	36741	1	1853	7086	1	5032	4607	9412	40993	1426	1	15286	14042	42947	28579	1	1	13899	1282	1	1	1302	1	1	1	12477	60626	1	1621	2242	6085	4585	1	7703	12607	3268	10287	8428	14717	52183	8420	8031	10710	1	61896	1	4698	6436	20706	2759	10982	5855	27130	215124	62125	65142	27483	6331	15789	7763	6200	13253	14670	801131	16704	9257
gene_1123692	eptA	517194	159368	121216	8328	364939	45690	11559	691732	34639	305167	404313	613802	483213	49975	209676	22568	126069	846362	586893	339893	107945	325565	120868	632704	50281	157627	57985	555740	388534	608070	1	5862	7156	17542	6822	3322	19800	1	1	14008	15770	17978	35900	4626	2986	77335	10666	53081	4042	17282	767839	29069	18309	17065	22662	44402	9452	44508	25352	43068	4005	7614	10485	1636	12468	10481	3923	4009	40991	2357	7210	7140	27362	1	24120	3214	1	11935	5267	3276	5868	6598	47258	278401	30654	141678	32500	46316	34178	14326	31841	16945
gene_1128721	vanI	22603	54224	1	248485	24594	1	8959	10477	2983	1	119495	24086	11123	29382	393143	207695	1198851	62075	1	37932	785089	312822	15612	3579	603151	40053	308147	1	16729	29853	1	4543	38819	74773	17623	2575	24552	18400	65194	12407	13579	1	294128	93211	53221	286140	2362	420782	25062	1	28337	80459	12163	114619	1	72872	106212	8278	9824	52848	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_1129240	lnuC	1	8763	30365	7041	10732	1	9773	15240	1	15756	104287	65689	1	11656	22874	23850	1	54175	1	9196	1	9964	1	39045	14786	13108	9338	1	14599	102354	1	9912	1	1	1	1	6696	1	1	6767	11851	1	1	1	10097	8437	10306	1	13670	8349	20609	1	1	28855	12773	1	1	1	1	1	31605	12875	1	11067	36894	21266	13268	18078	30135	1	1	8048	1	1	1	10870	1	5766	8906	11078	6615	33472	1	12470	20733	5097	1	13053	1	13842	11965	26048
gene_1144465	mdtB	173054	49700	49780	3744	184492	16182	6928	295752	6920	149394	161209	256123	151977	19624	74997	9299	46970	388855	166729	133638	27870	137738	37429	226975	11792	59628	28134	249814	169478	206137	1	1757	2144	1314	1	1	4747	1	1	2399	5251	7460	4611	2773	895	4486	1	6363	1	1	127836	3733	3135	1	1132	4696	1416	7469	5698	10755	1	1	1	981	1868	3769	1	801	7477	1	1	1426	6560	1	4819	3853	958	2044	1	1	1	1	7310	29836	3675	12647	1	1	1	1227	2120	1
gene_1144466	mdtC	176594	61306	65924	2265	241622	24849	3143	352922	8373	179904	196596	329597	149614	28116	102079	6137	50960	402220	219557	91688	30708	151424	42728	293868	28535	68160	26280	226683	184307	270849	1914	2391	1	3578	1	1	4307	1614	1	1088	1	6017	1395	1	1	21708	1	5774	1	1343	114894	2259	1423	3094	4108	4262	3855	2905	3447	976	726	1035	6517	890	848	1140	1	1	5816	1	1	1	10417	1	3887	1	1739	1855	716	891	1	1	1658	27074	5001	14755	1964	2099	1690	1113	1924	3351
gene_1144468	baeS	121708	46345	48176	4965	136211	9905	3446	239099	11472	130543	173625	268650	125496	26711	46371	15136	34531	283319	177973	58357	15840	82553	19215	165192	10426	58539	8230	496960	133828	164029	1	1	1	2614	2711	1981	7082	1	1	1	1	1	6115	1	1	20821	1	9041	2410	1	60549	2476	3119	1696	1	6228	1	6368	9446	6419	1	1	5358	1951	1858	1	1	1	4250	1	1	1419	6525	4469	5326	1	1907	1	1	1	4664	1	1	24181	3655	7188	8611	2301	3705	1	2109	1837
gene_1144469	baeR	168819	56999	25987	9641	213077	19234	1	349536	8911	113267	166599	242858	210469	19950	144859	1	63112	482180	274915	163690	38451	191008	51306	320788	25308	89745	60734	321683	209905	229341	1	3393	1	1	5265	3846	9169	1	1	4633	8114	25615	5937	1	1	40432	10584	21069	1	34297	296303	9615	12112	3293	13118	1	5471	4122	11006	41549	1	4407	3468	11366	3608	1	1	1	12379	1	1	2755	31677	8679	10342	1	3702	1	3049	1	4529	1	17648	102453	14195	45366	1	13405	7194	1	16383	1
