		d07ctrl031	d07ctrl032	d07ctrl033	d07ctrl034	d07ctrl035	d07ctrl036	d07ctrl037	d07ctrl038	d07ctrl039	d07ctrl040	d07sub041	d07sub042	d07sub043	d07sub044	d07sub045	d07sub046	d07sub047	d07sub048	d07sub049	d07sub050	d07ther051	d07ther052	d07ther053	d07ther054	d07ther055	d07ther056	d07ther057	d07ther058	d07ther059	d07ther060	d35ctrl091	d35ctrl092	d35ctrl093	d35ctrl094	d35ctrl095	d35ctrl096	d35ctrl097	d35ctrl098	d35ctrl099	d35ctrl100	d35sub101	d35sub102	d35sub103	d35sub104	d35sub105	d35sub106	d35sub107	d35sub108	d35sub109	d35sub110	d35ther111	d35ther112	d35ther113	d35ther114	d35ther115	d35ther116	d35ther117	d35ther118	d35ther119	d35ther120	d78ctrl181	d78ctrl182	d78ctrl183	d78ctrl184	d78ctrl185	d78ctrl186	d78ctrl187	d78ctrl188	d78ctrl189	d78ex1sub	d78ex2sub	d78ex3sub	d78sub191	d78sub192	d78sub193	d78sub194	d78sub195	d78sub196	d78sub197	d78sub198	d78sub199	d78sub200	d78ther201	d78ther202	d78ther203	d78ther204	d78ther205	d78ther206	d78ther207	d78ther208	d78ther209	d78ther210
trt	ARG_name	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther
gene_1217630	LnuP	295598	17317	30002	13913	10603	41636	28968	233388	25720	108971	1	1	31972	1	11300	4713	5692	62447	1	54513	11098	19689	13462	7716	1	1	4613	1	1	1	70562	102830	95637	36633	91175	22202	46311	29749	23423	93610	29273	13862	25705	46369	49882	208388	15274	50675	40519	49495	67873	62440	17479	33261	100962	61090	7895	101127	164121	131912	526390	120844	120116	60141	614477	42023	930731	665340	166737	204775	168639	326030	91426	250506	143277	440330	117543	353211	299192	120398	98029	242522	208842	160172	133152	246767	156857	303062	207633	191467	555598	133829
gene_1227495	poxtA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8806	1	1	1	1	1	1248	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1137	16216	1	1	7966	1786	3342	40986	3037	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_125189	vanI	1511	1	6978	1	1	1	13475	1	1	3621	1	6038	1	1	1	1	13240	1	1	16906	1	1	3131	1	1	2008	12875	1	1	4277	1	20501	22244	1	1	1	9233	55354	10896	3110	1	1	1	1	1	1	1	1	6283	1	1	1	1	1	1	4060	1	1	1	1	14526	1	2328	17803	4845	81450	33539	6232	1	76939	112068	62885	12759	87398	34714	24980	57164	10600	42982	56007	328330	23076	9478	25791	4765	7028	1	11998	2415	82705	21996	9578
gene_1286160	tetS	232248	11174	1	89780	19158	19703	14954	106879	13277	84381	8865	6701	12379	16348	8750	8515	7346	25329	5852	9380	1432	17787	43434	19915	9427	5571	11907	1	27924	28476	1518	5056	10800	13238	1	1433	1708	2560	10076	5178	1511	5963	1	15958	1288	2152	7885	7848	1	8517	1	1	2256	7359	14659	13516	10189	6142	10932	6191	1	1	1	1	1	1	1	1	1	1	1	1	1	3233	1	1	1	1470	1	1	1	1	1	1590	1	1	1	1664	1340	3530	1	1
gene_1304258	vanI	1	6197	1	1	5059	3311	1	1	3068	1	5463	1	1	1	1	1	2716	4257	1	1	1	1	1	1	1	2060	2201	1	1	4387	8417	4673	8556	6992	3625	5297	6313	4731	1	3190	2793	1	1	1	28561	3977	1	4836	12889	1	3239	3310	8340	1	3011	1	7534	1	12630	2861	1	1	1	2609	4969	1	1	1	1	1	1	1	4362	1	1424	1	2549	1	1	1	1	2630	1	8818	1	2403	5757	3077	2477	3263	1	1
gene_1310149	acrB	254703	100529	78733	12171	278260	29800	7679	463399	8181	194362	278594	332385	326712	25642	124907	9744	63375	566128	246990	184964	62660	204329	72797	436862	40662	95440	42554	590672	227126	378709	1	5452	5704	4661	7251	3531	26306	1577	1242	6381	3725	13963	13628	3687	1587	35795	4049	37880	2148	11808	441516	15448	8340	5290	9032	6940	12557	23653	12630	27656	2129	2023	7960	2609	1656	6684	1	5682	18942	2505	3832	3794	17449	3984	17566	1	3399	2718	2099	2611	1039	1	27545	125415	14661	84102	13433	16409	18163	7613	17861	4912
gene_1310150	Escherichia coli acrA	244908	89761	81996	15735	291794	15696	25480	377469	12120	123238	246003	494223	301313	21706	183171	24873	83690	578437	363214	178101	66937	213390	73585	357755	27536	118802	26085	525005	299075	436679	4433	14767	4507	13810	11457	2092	34916	1	1	2521	4414	12193	16150	2913	1880	21996	5758	30565	5092	9329	521962	13077	9884	5374	16651	16450	8929	35880	9979	51988	5045	4795	5660	1	1	2640	2471	1	11224	5938	1	1499	17233	1	11253	20243	6042	1	1	4126	2464	1	30723	150952	3861	68345	27291	9723	9784	10311	11141	13583
gene_1324351	poxtA	1	1	1	1	1	4261	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7191	1	1	4255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8217	11715	1	1	19183	15050	1	1371	36561	9671	1	10985	14033	1	12829	6594	6561	12242	2701	1680	6019	1692	9382	1	1	3092	11112	15836	1594	12595	18145	11061
gene_1343783	bacA	459318	139847	173713	8480	368367	42295	1	674529	31352	313108	362846	609180	311782	63170	199728	28725	90206	842776	511244	265801	98077	387007	82049	540793	71233	139454	75912	2263524	404415	577141	1	5969	3643	8931	9262	6766	48388	1	1	4075	7137	16898	10444	14131	1	40643	18619	37063	1	15083	550191	33828	15980	11584	7692	5319	9624	7251	12907	25582	1	15506	33554	1	1	4269	1	2722	3629	1	1	4847	16717	7634	23651	1	1	3472	1	1	1	6719	37255	138925	18728	52180	14708	11790	12655	4168	25217	6274
gene_1361519	poxtA	4011	1	1	1	1	1	1	1	17864	26430	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10581	1	1	1	1	2042	3061	183170	1	1	11411	1	1	1540	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1377	9817	1545	1	1	1	1	1	31249	1	1	1	1	1	1	1	1	73860	1	11825	1	1	1	1	1	1	1	1	1	1	1	1
gene_13622	adeF	1	14011	48549	1	20590	6738	3125	1	72836	127216	1	1	1	1	1	1	1	1444	1	33815	1	1	1	1	1	1	1	1	1	1	4758	59429	5804	1	25820	6287	388627	9628	82124	11902	1895	2930361	67940	10005	17758	2698	2472	168925	9835	352411	1	1	24042	1	1021	14122	5110	1	1	1941	804892	469325	639002	660898	433978	896489	654422	557120	898103	337743	413241	940007	511895	214848	854962	1614533	579275	1411413	943396	231138	296114	1155059	364329	189410	87845	195587	277259	149213	24360	464752	515535	446456
gene_1365070	Escherichia coli ampH beta-lactamase	2789	7434	3220	1	13656	1	1	3232	1	13366	1	27863	10294	2472	2426	1	1	15319	9733	3900	11911	27471	2890	6625	3136	1853	3961	1	9289	27628	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2175	1	1	8741	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10150	1
gene_1401649	vanI	7727	8239	24980	1	1	9905	4594	7164	3059	3703	1	12352	1	5479	13441	31393	8125	1	1	8645	58081	63232	115290	1	38229	160211	8779	1	1	1	5595	6989	14220	13944	18075	2641	15739	33026	14859	15906	22284	1	1	7354	4747	1	9689	31343	16065	1	1	16504	20791	11304	6004	4152	7513	31133	7557	5706	1	6052	7144	23411	2478	9997	3118	4249	14166	1	11462	1892	13050	5959	12782	1	7626	8132	2093	1	9328	2622	12118	8793	14620	4792	22963	3068	14818	22774	1	9796
gene_1404933	poxtA	1	1240	68751	1	1	1	1	1	1842	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25265	19637	1	14691	2176	17490	1895	31245	76041	5746	1677	1	1	1	1429	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	261956	271460	134761	355509	138725	170529	183997	223843	376976	1	1	1	5238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_1411594	Escherichia coli mdfA	310172	126654	121904	14133	379138	28196	1	357913	20901	227715	309350	569623	324773	49132	192841	11490	108710	659722	368464	177201	76658	284005	114869	395014	26712	94723	46859	188627	316499	537918	1	5969	2429	14885	9262	2255	26882	1	6345	8151	9515	5633	3481	3140	1	54191	4137	24708	8232	6704	628790	22552	17756	5792	17948	14184	35288	31422	19361	34109	3625	2584	18302	13329	1	1	2663	3629	31455	16001	1	3231	14859	15268	20619	1	6513	1	1	4447	1	2240	41394	175220	8324	94129	9805	18340	6328	8335	16811	20915
gene_142345	APH(6)-Id	54441	25913	8979	4164	101548	1	1	49570	1	23295	6853	23309	177019	3447	47346	2821	20444	117476	115343	43506	3321	26517	24174	115457	1	18088	5522	1	56122	27514	3520	1	1	13156	4548	1	1	1	1	1	3504	1	10257	1	1	4989	1	15166	1	1	540331	1	1	22753	18885	5224	4726	10682	3169	21534	2670	1	2996	6545	1	4192	1	2673	7129	4714	1	1	27362	1	17867	1	1	1	1	1	1	1	33538	70061	6131	27130	7222	11579	3107	8186	1	1
gene_142346	APH(3'')-Ib	41178	16703	8268	1	75973	1	5322	66391	14176	12870	25240	71542	277536	6347	49824	5195	25099	122922	187424	65098	6117	40694	25969	153089	8052	16656	5085	767581	91427	50670	3241	1	6589	1	8375	6119	7293	1	1	7370	9680	7640	1	4259	1	4594	1	19551	7444	4547	650907	15295	14451	10475	10434	14430	1	13114	11672	36352	1	10516	2758	1	5740	1	1	1	13128	4341	1	2191	40312	1	14807	1	1	6280	1	1	1	1	11230	71303	1	52737	1	7108	2861	1	13031	11348
gene_1443318	sul2	19944	7974	13815	1	6510	1	1	9245	11843	1	84349	31878	53982	24747	20813	2894	20970	125977	20879	27891	17034	123907	57857	132640	8970	31807	2832	1	57566	220136	1	3006	7340	22492	18659	6816	44682	1	4794	8210	14378	14185	10521	4745	1	20471	1	37335	1	5065	75009	17038	1	2917	23245	16075	9695	14609	22753	3681	1	1	21510	3357	3197	1	1	2742	14624	1	1	1	11227	15380	18327	13188	1	3498	1	1	4012	1	9382	196681	6289	43288	1	7918	3187	16794	32661	6321
gene_1454	adeF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	749307	646351	895737	729907	637063	813753	1037316	840377	1334627	249803	596471	1520353	606581	674946	1183904	1244355	446993	833388	1539338	807656	659912	952589	460769	644990	545303	468593	937214	610417	24360	449261	659005	869589
gene_1462485	APH(2'')-IIa	216988	173516	37577	166517	253807	104299	59127	196975	50111	12999	1064303	700900	93437	371812	264192	341057	152101	243336	107269	343917	80311	205504	247296	489629	264302	242720	128395	1033676	120445	1494366	114565	70871	146404	118277	93049	135953	88388	138000	91272	189827	394344	169765	162168	103249	258240	222725	198391	310297	218035	142353	476060	158344	136221	536945	165094	335211	153824	182127	147356	477303	42215	46027	44576	60870	23190	74076	58378	37286	39779	144682	201163	130584	117055	251007	164500	143483	71380	101482	142058	176693	123691	116594	243853	174895	199558	126153	73884	89737	179153	167488	128320	171919
gene_1462486	AAC(6')-Im	245475	165600	34988	103843	257204	129483	45043	126431	23996	36309	1399228	884047	201341	327690	279373	237436	191188	216397	169205	339057	93184	169914	251190	431899	184001	249715	154934	1299313	94203	1423805	115205	86800	206334	75190	127593	108749	86413	111017	50990	205859	338649	155194	191851	108152	214075	233302	223249	184382	258316	107746	487585	135927	146767	492068	223710	398964	139951	199794	123482	413960	24971	35603	65370	40807	14575	45740	79495	74988	16667	161655	224763	152087	119415	151913	153166	170336	79755	74410	155987	173595	73166	92562	204346	160929	162449	108064	123827	108285	188871	89316	104773	182484
gene_148063	vanI	1	1	1	1	1	1	1	1	1	7303	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5608	1	1	13019	1	4652	3663	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8951	9391	7694	4886	3285	15373	1	2793	1	22603	14921	4289	5876	21004	110837	1	13362	30960	51344	104234	12928	1	1	1	2362	39621	3025	1	35285	2773	1
gene_1491013	tet(45)	1	1579	1	1	1	1	1	1	1	1	1	1	1	1	2060	1	4151	3253	1	23190	1	1795	9817	1	1	1	1	1	1	1	1	1785	2179	1	1	1	4825	1	1	1	2135	1	1	5636	9094	3039	1856	1	9850	1	1	7589	1	3465	4602	3182	8636	6507	7722	4373	1627	1	1	1	1	1	1	1628	2171	1	1	1	1	1	3265	1	1	4155	4813	1	1	1	1857	1	7469	5509	1	2351	1	14960	10776	15015
gene_1494688	ErmQ	92514	5605	14565	13509	34317	8984	6250	63352	24972	25191	14821	16804	1	3727	3657	1	18423	28872	1	23524	1	9558	21784	9988	1	2794	1	300487	1	17852	19031	34865	19345	56909	24590	3593	8565	12837	5054	34624	3790	8973	1	5002	19373	37768	23069	13120	13114	16019	4393	26944	16971	9227	24507	16947	10221	7701	65111	19406	86625	45286	16198	49545	161794	27201	114550	231230	107926	193725	202722	221329	11836	243224	110131	250261	93376	121689	205055	77932	131136	132007	49456	27913	59668	48897	7810	95997	83999	13279	153035	26654
gene_1511740	poxtA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1989	1	1	1	1	1750	1	15723	1	1	1	1	1	1	1	4319	1	1	1	1	1	1	1	1	1	1	1	3330	7860	1	1	1	1	1169	4676	16493	1	4163	9572	1	28128	1	8391	4474	6910	4297	1711	2886	49332	1	1	55365	1	16878	4076	5370	7736	4042
gene_1522048	AAC(6')-Ie-APH(2'')-Ia	3390	1506	1	1	7378	1	1	1	1	2708	1	1	5562	1	1	1	1	1	1	6322	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10574	1	1	1	16299	1	1	1	1	1	1	1	1	1	1	1	4723	9655	1	1653	1	1	16481	1	5526	1	1	2213	1	3804	1	19494	2280	97875	1	1	1	1383	3181	1	3116	1	1	1	1	1904	1	1	1	1	1	1	1	2243	1	1	1	1
gene_1523354	Escherichia coli emrE	275832	73524	180454	1	360152	49105	1	586023	27300	253365	251142	587859	497729	65192	151927	40020	64450	833284	352930	231450	94237	257750	57156	698847	41351	79427	78343	1	418497	702598	1	1	1	1	1	1	9363	1	1	1	1	1	1	1	1	11797	1	1	1	1	441864	1	1	1	26791	24702	1	25256	1	8486	6313	1	7083	1	1	1	1	1	8428	1	1	1	1	1	1	15199	1	1	1	1	1	1	14418	61030	28991	49891	1	18252	7346	9678	16730	1
gene_1524011	PmrF	265357	100725	89192	7193	323449	53818	9985	443748	13298	197194	266367	483209	338870	35724	163587	14620	79464	682638	445408	267755	43034	351201	125284	446786	37766	93746	64396	240018	331878	461068	3040	7595	18543	30305	15713	2870	30785	1	1	6914	9081	14334	17720	11987	2579	56026	10529	13100	6983	4265	624640	17935	1	9827	48938	36098	1	12302	10949	24801	1	1	2588	1	5385	3621	1	9235	12315	4072	1	6167	23635	1	27779	5553	5525	1	1	1	1	1	42138	200663	21183	124982	1	16669	8051	3535	33615	18629
gene_1524716	poxtA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	46262	6127	6122	19281	2064	1	1426	13225	14314	26177	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3927	1	55694	1607	8648	46535	1	1	75368	133861	19637	73377	1	23957	3315	9896	3517	6791	23651	66573	11910	212270	79869	25294	41973	33521	85590	16023	52771	120419	81034
gene_1561125	tetA(P)	5305	1	3063	1	1	1	1	39963	1	3178	7012	1	6527	1	2307	1	1	1	1	11129	1	2010	1	1	1	1	1	1	1	3754	1	1	1	1	1	1	1	1	1	1	1	5660	1	1	1	3404	1	1	1	10105	5543	1	1	1	2577	1	1	4858	1	1	14572	1	6131	1	10631	1	13381	10940	1	1	1	1623	3733	1	8532	1	10908	6978	1	2235	1	1	1	1	8364	1	1	2633	1	1	9654	2102
gene_1570339	tet(B)	21273	14176	3070	5695	73781	1	1	18489	1	19116	16401	10626	229013	1	20813	3858	18640	91287	102073	18594	18170	14103	2755	107375	2990	7068	1	1	41329	22578	1	1	2447	1	1	4544	5416	1	1	8210	4793	9457	10521	6327	1	23883	2084	18668	1	30388	372269	11359	7154	1	7748	3572	1	7305	1	41722	1826	1	2049	1	1	1	1	1828	4875	1	1	1	1	1	3665	1	2187	1	1801	1	2675	2256	10425	35302	4192	16491	1	2639	10623	1	16935	2107
gene_1570936	mdtG	3979	3535	3063	1	8659	1	1	9222	1	1	1	1	6527	4702	2307	1	1	7285	1	3710	4531	30147	1	6301	2983	1	3767	1	11780	7508	1	1	1	1	1	1	2701	1	1	1	1	1	1	1	1	1	1	2069	1	1	1	1	1	1	1	1	1	1	1	2448	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2056	1	2633	1	1	4827	1
gene_1571588	vanI	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4162	29669	1	28055	1	9801	9173	4166	8334	1	1	1	4265	1	8355	15030	1	7973	4105	1	1	1	1	1	1	1	1	1	1	3190	1	1
gene_1577145	poxtA	2986	3980	1	1	3249	2126	17753	1	9851	1	1	11932	2449	1	3463	2888	1744	5467	1	22272	8501	4525	4125	1	1	5291	9895	1	1	1	1	1	1832	1	1	1	1	1	1	6147	1	1	2625	1	6114	1	1	1	2069	2528	4160	4252	1	1456	1934	8023	1	7291	1	1	1	1949	1	1	1	2146	1	1	1	7240	1	2437	16809	1	7317	13164	1637	1746	1348	1	1	1	1	7551	1	3086	1	1976	3181	1	3622	3154
gene_1586325	TEM-160	24658	1	1	1	1	1	1	1	1	1	1	1	1	1	42888	1	1	1	86045	1	1	1	51094	1	1	1	1	1	1	1	1	1	1	1	1	1	50221	1	1	1	1	1	1	1	1	1	1	1	1	1	103043	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	77332	187053	1	1	1	1	1	1	1	1
gene_1605968	ErmB	9517	1	1	1	341723	1	1	1	150710	22805	1	1	1	1	49660	13808	66711	26137	99631	1	32514	14421	177485	67816	42802	126483	54061	1	21131	1	51683	43039	35025	107329	489730	32525	290752	174316	160126	137130	34306	27076	50207	339635	146146	73265	104416	14847	98927	1	59657	426857	25606	55685	73950	383536	138788	34857	93067	35135	26140	55903	43990	16018	61027	41040	1	26166	34894	115376	1	104840	80358	73394	43727	31466	62614	83455	25782	64135	95736	129190	89542	18049	180052	14755	70702	37784	15208	40069	190488	90484
gene_160753	vanI	1	6215	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8538	1	21738	1	16487	1	1	1	1	22074	1	1	8798	2814	1	28602	10518	7271	1	1	37960	3736	3200	5603	1	4100	18490	9548	1	1	1	3231	1	1	1	1	36379	1	33408	3778	19925	134267	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2726	1	1	3127	1	1	2948	1	2410	1	1	1	1	1	4926
gene_1634341	vanI	1416	90609	176602	1	9247	9077	122099	95199	61681	23757	214654	260354	20911	125533	1	443875	4964	54458	350919	35654	21775	77265	82178	26914	25480	9412	4023	1	166674	1	51279	34162	78189	86255	82823	128273	112505	60533	44257	23324	20422	58429	22416	64025	15225	25442	8880	26515	32390	57550	2959	51427	15243	134670	24763	15221	6885	168596	30010	62747	33067	11093	21823	19071	24977	18323	1	66199	7790	20605	42018	38140	11959	76460	41649	23414	41934	19872	13429	33407	2850	21630	8884	8058	31262	68072	5261	28116	52057	8945	5154	26932
gene_1640236	poxtA	32827	32813	9475	17576	26789	57856	39033	7608	6498	58996	4339	9838	2019	8728	35686	15479	23011	9015	31502	11477	16823	32333	18706	27290	11073	43628	45453	1	27333	18582	7428	21031	58896	1	3839	12621	28415	2505	17753	3379	11833	12842	23812	37098	17644	27377	23153	38408	8531	1	60018	5258	2208	2401	14348	13229	15957	24046	10701	21208	2254	3214	1	6907	3947	10617	11592	5641	1	11939	12173	5023	11549	12658	9804	1	1350	1	13339	4148	8256	1393	5148	12451	2588	8906	15242	3258	2623	6911	1	10404
gene_1645641	YojI	66324	26386	20571	1	109864	6344	2943	137659	9798	85393	95945	146361	153455	10528	51654	11490	43368	263707	148537	74757	13528	63001	34871	164589	15582	18418	1406	141470	74729	117670	1	4477	9108	1	2315	1	10081	1	2379	6113	5352	12673	7833	4710	1	17781	1552	16987	1	7542	200634	4229	7990	2896	5769	2660	1	9064	4840	18273	2719	1	7626	1666	1587	4269	5992	1	9074	1	1	1212	2786	1	8187	1	1	1736	1	1	1	1	9314	99500	3121	30694	1	3930	14237	1	9006	1
gene_1649125	vanI	1	1	1	1	1	1	1	1	6154	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11255	18745	5720	7012	3636	10624	1	1	3736	3200	1	1	1	1	1	1	1	1	6463	1	6496	6640	1	4547	6039	1	7556	2846	5067	1	1	1	2395	2616	1	1	3136	1	1	3769	11528	5708	8750	1	1428	1	1	1	4211	2619	3127	2637	1	1	4901	1	1	1	2484	13088	1	1
gene_1666818	poxtA	7617	2256	1	1	1	10847	2516	1	11726	4056	1	1	1	1	1	1	1	2324	1	2367	1	1	1	2010	1	6748	1	1	1	1	1	1	1557	1	7918	2892	1	1	10171	1742	1	1204	1	1	2599	1	1	1	3519	1	1	1	2277	1	1	1	1	1	1	1	6973	1	2608	1	2713	3649	1708	3490	1	1	1	1	1	1	778	1	1	1	2293	7129	1	1436	3981	4815	5337	1312	1	6720	4057	1	1540	16092
gene_1680959	emrA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_1680960	emrB	108917	46508	26858	9058	103552	15813	1	169109	4186	88685	117399	143670	132701	20619	42303	3068	31502	209096	103321	76899	25289	89733	37250	140655	19023	49188	12014	302244	103306	95770	1	1	1946	7155	4947	5421	12922	1	2542	1	7623	4513	8368	1	1	16281	1657	13197	2198	2685	165713	9034	8535	7734	10271	5682	2570	5809	3447	7808	1	1	4888	1	1695	2280	1	2907	7754	5128	7843	1294	23810	1	9717	1	1739	1	4297	1	1	1	13266	84229	3334	37707	1	8396	1	1	1924	5027
gene_1695132	H-NS	271235	104780	117995	33674	295125	16795	1	583089	1	282581	394853	502662	483629	41808	252979	22813	96441	1155144	534974	252880	114154	381224	114037	728282	53037	109710	5582	561780	375301	600772	7116	1	14467	1	18389	40302	56043	1	1	8092	14170	27959	1	1	6036	30262	1	73588	32689	1	887068	33583	21152	40251	22908	10561	9554	50391	25627	50792	1	1	30283	19849	1	25427	1	5404	36031	9531	1	1	22128	1	7224	12997	1	20682	5324	1	1	1	55477	223651	12395	73132	1	54622	18845	1	64374	6229
gene_1717034	QnrS1	29724	1	1	1	1	1	1	1	1	1	13095	19797	1	1	1	1	4341	13606	1	20785	1	3753	1	11767	1	13168	1	1	1	7011	1	1	1	1	1	1	1	1	1	1	1	7047	1	1	1	1	1	1	1	1	20703	5290	1	1	1	1	12041	1	1	9145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4203	27190	79861	1	3840	1	1	7917	1	1	1
gene_1725696	AcrF	318669	123641	121021	6735	272028	35830	3116	481048	17637	263742	272472	458679	242460	29730	167741	13688	69805	559939	270688	190576	69835	266857	90143	476807	25929	113541	33494	749040	296750	393098	2846	1580	1929	5911	11033	896	12810	1600	1260	5394	8502	6710	6913	1	805	47074	7393	27800	2179	9317	380016	14553	14102	7667	13236	22530	12739	12478	10251	26122	5038	1026	11306	1764	840	4520	2115	5043	6726	7625	1	2566	17702	8084	18302	3466	2586	1838	710	2649	1054	889	33697	123257	8263	55256	11681	10404	5025	14343	13352	10797
gene_1725697	AcrE	27962	7453	38739	1	1	1	1	64809	1	53603	19711	22348	1	1	9727	1	1	46077	1	15642	9553	42372	1	1	12576	7432	7942	1	12417	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	23371	1	1	1	1	15025	1	1	9115	1	1	1	25850	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7575	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_1749191	poxtA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4154	1	1	1	1	1	1	66532	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_1751137	poxtA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1318	1	1	1	1	1	8970	1	6711	1	10168	1	1	2384	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2724	11651	3056	5008	9539	1	10005	1	9090	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_1765929	mphC	18082	2410	1	1	1	1	1	4191	1	1	1	1	1	1	1	1	1	34762	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6655	1	4229	1	3683	16560	4346	1	1	1	1	8604	5554	1	2834	2821	1	1	3778	7724	1	1	10538	1	17580	6623	26524	1	1	1	1	1	1	1	1	1	3315	1	1	1	1	1	6646	1	1	3171	1	1	1	1	1	3429	1	2803	1	3589	1	1	3290	1
gene_1765930	msrA	13312	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2299	1	1	1	1	1	1	1	1	1	6124	1	1	1	4519	6773	1	1	1999	1	1	1	3407	2847	1	1731	1	1	1	1	1	4868	10775	1	5393	10158	5424	1	1	1	1	1867	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1869	1	1	1	1	1	1	1	1	1	4671	1	1758
gene_1769825	vanI	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9399	8526	1	1	22265	1	45499	22082	2727	1
