geneID	d07ctrl031	d07ctrl032	d07ctrl033	d07ctrl034	d07ctrl035	d07ctrl036	d07ctrl037	d07ctrl038	d07ctrl039	d07ctrl040	d07sub041	d07sub042	d07sub043	d07sub044	d07sub045	d07sub046	d07sub047	d07sub048	d07sub049	d07sub050	d07ther051	d07ther052	d07ther053	d07ther054	d07ther055	d07ther056	d07ther057	d07ther058	d07ther059	d07ther060	d35ctrl091	d35ctrl092	d35ctrl093	d35ctrl094	d35ctrl095	d35ctrl096	d35ctrl097	d35ctrl098	d35ctrl099	d35ctrl100	d35sub101	d35sub102	d35sub103	d35sub104	d35sub105	d35sub106	d35sub107	d35sub108	d35sub109	d35sub110	d35ther111	d35ther112	d35ther113	d35ther114	d35ther115	d35ther116	d35ther117	d35ther118	d35ther119	d35ther120	d78ctrl181	d78ctrl182	d78ctrl183	d78ctrl184	d78ctrl185	d78ctrl186	d78ctrl187	d78ctrl188	d78ctrl189	d78ex1sub	d78ex2sub	d78ex3sub	d78sub191	d78sub192	d78sub193	d78sub194	d78sub195	d78sub196	d78sub197	d78sub198	d78sub199	d78sub200	d78ther201	d78ther202	d78ther203	d78ther204	d78ther205	d78ther206	d78ther207	d78ther208	d78ther209	d78ther210
gene_3763846	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_3767757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_3776400	15	18	9	26	63	25	4	15	12	9	48	22	2	4	8	26	24	4	2	34	21	19	17	173	9	50	13	0	13	140	6	18	12	10	7	9	15	10	10	9	30	33	14	31	12	9	53	11	21	49	10	20	8	21	20	25	17	22	11	14	13	8	24	7	6	10	11	25	19	14	1	19	16	4	31	10	14	12	27	17	14	11	11	16	9	14	6	10	31	15	15	12
gene_3780737	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gene_3805356	7	1	0	2	2	1	1	6	3	1	2	0	0	0	3	0	0	4	0	4	1	0	0	0	0	2	0	0	0	0	23	9	0	0	2	5	8	2	0	4	4	4	4	4	13	14	8	1	1	1	74	5	0	6	14	0	2	6	2	9	7	9	2	0	4	0	1	4	16	3	0	3	1	0	7	5	1	1	5	1	1	2	1	13	1	18	0	1	5	4	5	0
gene_3807506	12	9	4	5	0	1	0	2	0	4	2	2	1	3	4	21	2	3	0	5	0	4	2	1	1	18	0	0	10	3	1	4	2	0	0	3	0	0	5	5	1	0	3	0	3	1	26	15	7	2	4	0	0	7	1	1	1	7	1	1	15	3	5	4	12	29	22	8	13	5	0	9	1	7	26	6	2	3	6	5	4	6	9	0	0	0	4	6	19	3	6	4
gene_3810202	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	7	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gene_3827158	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	3	5	1	0	2	0	3	0	3	0	12	5	0	0	0	1	2	1	0	0	3	0	1	5	7	3	1	2	0	5	0	4	4	3	1	0	0	0	7	7	2	4	5	8	1	5	8	2	3	5	11	3	1	3	5	1	9	3	3	9	0	2	3	8	6	4	3	3	0	1	6	6	2	7	8	5	5
gene_3852408	1	0	4	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	1	3	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gene_3882866	2	0	0	0	1	0	0	0	0	0	2	1	2	0	0	2	0	1	1	0	0	2	1	0	0	1	2	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	2	0	3	0	0	4	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	11	1	2	0	1	3	0
gene_3888804	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
gene_3888805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_3900540	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_3904265	21	27	13	5	15	21	8	10	12	4	18	6	2	18	7	42	13	6	11	8	7	27	26	25	4	64	21	0	6	19	23	13	17	15	14	15	25	15	28	24	17	23	17	9	18	12	27	27	19	8	32	21	13	17	51	22	19	18	25	38	39	22	36	30	17	15	17	48	39	12	7	17	19	9	49	17	22	21	32	34	13	9	36	41	9	23	8	29	40	19	34	49
gene_3909134	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
gene_3950341	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_4006927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_4007318	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1
gene_4008229	0	1	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_4008504	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	4	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
gene_4015151	10	2	1	0	1	0	0	9	2	5	8	2	9	2	5	0	2	7	2	1	1	9	5	12	1	4	1	1	4	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	11	1	0	3	2	1	0	2	0	1	0	1	3	2	0	1	0	0	2	0	0	0	0	0	4	0	1	0	0	0	0	0	4	16	0	7	0	0	3	0	1	3
gene_4023321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
gene_4027680	60	13	6	1	11	3	1	41	1	7	21	17	14	5	6	3	3	30	7	5	4	30	4	11	1	28	2	0	9	15	0	2	0	0	2	0	3	0	1	0	0	0	0	1	0	1	0	3	0	0	34	2	2	3	0	1	0	5	1	2	0	0	3	0	1	0	0	1	1	1	0	0	1	0	5	0	0	0	0	0	0	0	6	14	0	6	0	0	5	3	0	0
gene_4028410	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0	1	0	0	0	0
gene_4043911	0	1	0	0	3	0	0	0	0	2	0	0	5	0	1	0	0	1	2	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0
gene_4047232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gene_4048766	409	198	152	99	62	345	185	182	230	212	254	42	120	195	320	313	327	153	23	182	317	286	198	96	133	255	209	1	91	65	195	301	156	129	198	154	172	145	163	288	319	208	156	174	374	140	273	300	208	54	115	280	238	247	186	190	264	294	223	298	281	347	289	236	297	231	92	280	169	138	48	348	182	148	434	117	154	345	232	266	205	211	242	178	100	225	69	106	259	305	195	175
gene_40526	3	33	0	0	0	3	11	2	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	11	1	1	30	2	0	2	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	14	42	20	14	3	3	0	2	11	1	61	32	2	32	0	0	10	18	5	1	0	38	10	129	8	81	162	49	92	128	8
gene_429398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	3	0	0	5	1	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	3	0	0	1	1	5	1	3	1	7	7	0	0	2	2	2	3	3	2	0	5	2	10
gene_436126	126	107	0	67	4	2	3	8	1	4	26	7	71	90	21	163	41	26	8	35	12	32	14	9	70	2	29	0	73	24	4	0	11	12	1	0	16	8	0	4	1	3	0	8	5	47	12	2	8	15	23	0	0	18	14	21	13	8	39	8	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	9	0	2	0	0	0	0	1	2	0	0	0	0	7	2
gene_448396	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	5	86	0	1	0	5	6	1	7	0	19	0	6	1	3	6	185	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	121	0	35	4	0	0	1	1	0	2	2	232	1	129	108	178	1	2	213	37	15	66	12
gene_448996	13	0	0	16	12	4	6	0	0	5	0	1	4	0	4	4	0	1	0	2	0	24	2	6	1	10	3	0	0	3	3	1	3	2	10	1	0	1	0	3	0	0	10	0	9	7	12	0	6	0	0	2	0	0	5	0	6	5	0	8	0	0	0	7	3	0	0	2	0	1	1	0	8	4	20	1	0	1	2	3	2	0	26	9	2	2	1	3	13	8	35	10
gene_451952	1088	1113	1814	571	811	1294	860	585	2374	756	554	267	172	378	514	1281	1282	321	37	588	407	655	163	803	649	1039	1682	11	145	890	2274	2247	1676	1400	1069	2510	1345	741	1888	1272	1373	2047	1355	1332	1526	1166	5611	3511	2562	1310	801	1038	742	2463	793	584	513	1735	1896	1302	2581	3442	3098	3279	4137	2190	3076	3054	3158	3149	1359	6886	1778	2118	7205	1060	3147	2406	4128	2741	3867	2821	4508	3228	1896	4611	2773	6325	5750	2511	2800	3213
gene_465941	2	0	0	0	0	0	0	1	0	1	0	0	4	0	3	1	0	1	0	1	0	0	3	0	0	1	0	0	0	0	5	6	0	5	2	2	11	2	0	2	0	8	15	3	6	3	4	7	2	9	9	5	0	6	12	2	10	11	18	18	8	10	4	0	3	3	7	14	45	8	0	5	0	0	34	4	1	5	5	3	0	2	10	34	3	7	1	6	8	8	18	11
gene_469488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	6	0	0	0	0	1	0	4	0	0	0	0	0	4	1	0	2	6	2	1	7	5	1	4	3	3	11	1	1	0	11	4	22	9	3	0	0	0	1	1	0	25	0	0
gene_478786	2254	1907	650	416	331	1169	1056	1280	1009	1215	2005	749	2438	4070	3505	3159	2281	2939	1038	1333	4769	4783	3555	1354	1887	2993	2790	40	3644	542	1372	2087	2336	1634	1100	1531	812	1320	1103	1494	3228	963	818	2311	3798	1498	1503	1258	1382	681	1070	2535	1109	2009	1651	765	2340	2499	1396	1378	355	305	616	706	777	606	535	797	513	408	161	718	623	527	1745	494	594	454	608	1011	512	443	783	1080	503	1093	163	493	837	374	453	963
gene_481464	4	0	1	1	0	1	1	0	1	0	0	1	0	2	0	0	3	0	0	0	0	1	0	0	0	1	7	0	0	0	7	2	1	1	0	1	2	2	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	3	0	0	1	0	0	0	1	0	2	1	2	0	1	1	0	0	1	0	2	1	0	3	1	0	1	4	2	1	3	5	0
gene_486735	634	411	239	515	91	398	330	427	265	227	538	159	193	364	484	455	257	441	104	307	376	575	342	395	131	659	260	3	491	153	268	455	351	277	235	378	120	252	301	360	580	227	173	392	453	291	264	362	183	199	261	265	220	294	165	198	537	437	550	243	135	197	189	252	229	148	170	186	267	86	47	212	214	141	518	153	234	250	437	234	79	170	180	312	101	285	63	124	214	122	111	234
gene_490549	27	8	5	1	11	3	1	25	0	10	19	17	11	1	11	1	1	31	15	9	1	11	6	24	1	5	1	1	18	23	0	0	0	1	0	0	1	0	0	0	2	2	0	0	0	5	0	4	0	2	32	0	1	0	0	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	1	0	0	19	0	7	0	1	0	1	1	0
gene_490550	47	17	4	0	20	0	0	32	0	19	28	13	27	0	9	3	4	45	25	16	2	26	4	29	1	13	6	0	34	25	0	0	0	1	1	2	2	0	0	0	1	1	1	0	0	2	2	4	0	0	46	2	1	2	2	0	2	2	1	2	0	0	1	2	0	0	0	0	2	0	0	0	1	1	5	1	2	2	0	0	0	1	9	12	0	9	0	0	3	0	2	0
gene_496525	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	2	4	1	1	0	0	23	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	4	4	0	11	4	19	10	5	2	8	0	16	1
gene_522658	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	39	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	1	0	45	0	0	0	0	0	0	0	0	0	0
gene_536963	551	160	74	4	174	25	2	393	26	166	280	196	229	32	170	27	78	405	183	136	69	273	66	298	24	111	53	11	246	242	1	6	1	7	5	1	19	0	2	4	6	19	12	0	2	22	6	28	2	10	485	15	10	5	23	16	8	17	12	22	3	0	19	2	1	5	1	3	21	4	1	3	9	4	34	6	4	0	4	2	4	1	26	177	6	94	2	12	15	4	20	6
gene_551243	0	0	46	0	0	3	1	1	17	1	0	1	0	0	0	16	33	0	0	0	0	7	0	1	0	13	5	0	0	0	101	36	3	0	7	21	6	2	0	1	2	147	62	1	88	6	17	68	42	76	0	43	30	2	4	89	7	4	32	1	2	89	28	66	4	2	57	47	0	20	18	111	25	11	171	3	16	4	60	1	19	51	63	58	33	215	53	64	46	5	48	54
gene_556339	267	19	19	4	5	2	9	71	13	20	6	2	10	10	8	0	26	10	0	11	4	33	18	1	0	1	6	0	2	4	32	39	45	31	25	10	21	7	13	49	31	21	4	30	48	50	32	35	21	20	43	10	11	15	27	36	9	28	76	84	104	16	18	40	192	12	143	271	74	245	36	451	35	90	368	247	138	172	426	111	68	105	66	51	27	60	25	83	115	31	126	79
gene_563306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	2	7	0	0	2	0	2	0	2	7	0	27	28	69	112	52	28	91	3	27	38
gene_569142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	10	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	13	2	0	7	16	29	0	5	0	0	6	0	0	0	0	0	0	0
gene_604516	0	0	4	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	6	1	6	3	1	1	6	2	1	0	0	1	2	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	1	1	7	1	0	1	2	0	1	2	2	1	1	4	0	4	1	0	1	1
gene_641160	0	3	1	0	0	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	5	3	4	2	1	1	4	0	4	0	0	9	0	5	1	4	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	1	0	6	1	0	1	0	2	2	0	2	0	6	1	7	1	7	3	1	0	0	0	2	1	0	1
gene_655817	6	0	0	0	1	1	2	1	0	0	1	3	0	0	0	1	0	4	5	0	0	0	0	2	1	0	1	0	1	0	0	16	10	0	1	1	3	0	2	1	1	45	3	2	1	1	0	0	15	1	2	0	22	2	1	30	4	0	0	0	2	12	10	27	12	23	3	0	4	91	20	34	21	8	30	7	11	31	50	67	11	12	24	11	7	28	8	7	14	21	16	19
gene_68653	1	8	0	0	15	0	0	8	0	0	14	28	1	99	2	214	0	6	0	10	9	87	120	236	34	0	2	1	3	7	89	203	46	77	73	127	377	111	22	88	218	0	174	115	258	190	104	163	101	9	237	16	853	85	121	53	43	208	311	261	0	0	0	5	0	0	2	0	0	16	8	1	40	5	20	1	6	0	10	181	216	1	97	33	98	47	9	22	34	327	14	35
gene_713516	27	2	1	0	0	0	5	0	25	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	7	0	3	1	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	14	21	16	18	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_724913	116	178	29	92	210	68	35	69	32	24	199	119	51	146	188	213	192	53	22	160	245	366	273	737	95	198	179	2	178	581	66	113	178	90	74	95	96	113	84	68	499	246	133	160	444	107	443	456	413	42	154	398	165	693	220	226	322	452	344	199	19	46	78	48	49	58	32	30	44	49	13	57	114	44	138	62	28	69	36	64	51	37	283	153	118	239	42	192	187	52	142	91
gene_742404	94	34	13	3	36	6	0	92	6	47	55	41	41	13	41	4	14	79	45	37	13	79	16	72	5	24	8	1	40	42	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gene_754522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	4	17	23	0	25	2	16	81	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	12	1	23	10	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_803290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	2	0	25	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_805454	27	5	0	0	1	1	0	2	0	0	1	2	0	4	5	0	0	14	0	25	2	1	3	0	0	0	0	0	2	0	21	6	17	11	8	4	10	2	8	13	7	18	8	10	63	3	14	6	14	2	11	27	5	18	36	28	97	36	43	6	1	1	0	3	2	1	3	6	16	3	0	5	1	2	8	7	0	13	2	3	7	3	5	4	0	4	0	1	1	2	18	22
gene_811421	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	3	0	1	0	6	0	3	1	0	3	1	4	2	2	1	10	3	3	0	2	11	2	0	1	3	1	3	9	10	19	4	4	2	0	0	1	1	8	20	7	1	3	0	0	16	4	2	3	5	1	0	0	2	5	0	8	0	1	6	6	4	1
gene_812960	31	37	6	5	6	6	1	10	19	17	3	6	0	2	13	32	6	2	0	9	0	0	0	25	3	20	2	0	0	12	5	3	3	0	11	8	51	7	6	5	0	7	4	0	5	0	0	0	4	6	1	0	13	0	0	1	5	0	0	0	5	0	5	0	0	1	0	2	1	0	0	2	0	3	2	0	3	5	2	5	5	1	2	3	3	5	0	1	3	0	0	0
gene_820115	42	22	6	1	22	1	0	22	1	15	25	20	22	5	15	1	7	35	18	8	8	24	9	23	5	7	3	0	26	18	1	1	2	0	0	1	4	0	0	0	1	0	0	0	0	4	0	2	0	0	38	1	2	0	2	0	0	5	0	5	0	0	0	0	0	0	0	0	4	3	0	1	0	0	2	0	0	1	0	0	1	1	4	14	2	7	1	1	0	0	2	0
gene_8346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1266	673	1122	846	846	786	1265	1380	1369	277	184	2292	375	347	2119	880	699	977	2261	924	736	1277	757	822	452	665	491	737	28	424	853	1251
gene_876677	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	1	4	9	3	0	23	25	9	0	2	0	0	2	0	1	0	11	5	0	0	0	0	0	0	0	0	0	0	1	25	31	32	36	14	36	0	10	17	0	7	38	5	68	0	18	8	63	8	1	23	15	5	0	27	24	21	59	77	28	23
gene_888282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	36	22	38	10	26	10	8	3	13	0	6	19	3	129	15	26	0	30	4	0	1	20	0	0	3	0	0	0	18	27	14
gene_895355	238	69	20	4	47	6	1	133	6	56	71	75	82	13	70	14	42	141	73	56	25	144	26	114	17	48	13	3	100	116	0	2	2	5	3	0	1	0	0	2	4	4	5	0	0	18	0	5	1	2	164	4	3	9	3	9	2	16	5	18	1	5	5	1	2	4	0	3	2	1	0	2	2	0	11	0	0	2	1	3	0	0	12	60	5	37	2	1	7	3	9	2
gene_901838	185	50	24	5	39	7	1	118	4	62	89	39	64	9	54	5	31	110	38	56	26	126	29	83	8	58	27	1	82	89	0	2	1	5	1	1	6	0	0	0	0	5	2	1	0	12	0	14	2	2	116	4	4	3	4	2	1	11	6	10	2	1	4	0	2	1	0	0	4	3	0	0	2	1	17	2	3	1	1	0	2	0	15	66	1	43	3	6	10	5	10	4
gene_901839	443	105	62	2	87	17	1	232	15	113	190	110	94	27	112	8	56	244	82	86	52	188	44	183	8	104	41	4	132	116	1	1	2	1	0	3	5	0	1	3	3	10	4	1	0	14	1	12	1	4	152	2	6	16	5	4	3	8	4	11	2	0	9	2	1	1	1	0	5	2	1	2	5	1	21	0	1	4	0	2	1	0	11	63	4	29	2	6	6	1	6	2
gene_901840	307	67	43	4	53	14	3	184	10	87	134	82	45	12	68	8	33	138	70	52	27	106	28	136	15	59	23	2	83	93	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	2	2	3	1	3	63	1	0	0	4	1	0	3	4	1	2	0	1	2	1	4	0	0	0	0	0	1	3	0	4	1	0	0	0	0	1	0	0	7	0	5	0	2	0	0	2	2
gene_929275	31	33	30	25	45	78	36	4	9	11	6	3	1	17	22	6	7	2	23	8	2	0	32	1	18	33	25	0	10	34	24	14	39	1	30	35	9	3	14	16	7	28	29	17	20	22	0	7	15	32	2	2	2	8	5	7	4	10	14	9	18	0	2	2	17	4	8	3	0	7	3	13	8	4	28	4	41	1	5	5	8	8	12	10	5	11	2	8	21	3	9	9
gene_933185	79	63	24	10	9	4	13	19	24	62	11	10	0	0	33	39	2	8	0	30	0	8	0	51	3	39	8	0	0	27	2	6	14	0	10	15	91	8	12	7	0	27	6	0	3	0	1	3	3	11	4	0	17	0	0	0	4	0	0	0	9	1	7	0	0	5	1	2	0	0	0	6	0	1	1	5	8	3	4	4	4	2	1	1	1	8	0	3	5	0	0	1
