geneID	d07ctrl031	d07ctrl032	d07ctrl033	d07ctrl034	d07ctrl035	d07ctrl036	d07ctrl037	d07ctrl038	d07ctrl039	d07ctrl040	d07sub041	d07sub042	d07sub043	d07sub044	d07sub045	d07sub046	d07sub047	d07sub048	d07sub049	d07sub050	d07ther051	d07ther052	d07ther053	d07ther054	d07ther055	d07ther056	d07ther057	d07ther058	d07ther059	d07ther060	d35ctrl091	d35ctrl092	d35ctrl093	d35ctrl094	d35ctrl095	d35ctrl096	d35ctrl097	d35ctrl098	d35ctrl099	d35ctrl100	d35sub101	d35sub102	d35sub103	d35sub104	d35sub105	d35sub106	d35sub107	d35sub108	d35sub109	d35sub110	d35ther111	d35ther112	d35ther113	d35ther114	d35ther115	d35ther116	d35ther117	d35ther118	d35ther119	d35ther120	d78ctrl181	d78ctrl182	d78ctrl183	d78ctrl184	d78ctrl185	d78ctrl186	d78ctrl187	d78ctrl188	d78ctrl189	d78ex1sub	d78ex2sub	d78ex3sub	d78sub191	d78sub192	d78sub193	d78sub194	d78sub195	d78sub196	d78sub197	d78sub198	d78sub199	d78sub200	d78ther201	d78ther202	d78ther203	d78ther204	d78ther205	d78ther206	d78ther207	d78ther208	d78ther209	d78ther210
gene_3294534	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gene_3296739	16	4	0	0	1	0	0	5	1	0	3	1	3	0	4	0	1	10	4	1	3	12	5	15	0	4	1	1	5	0	0	0	0	0	3	0	5	0	0	4	8	7	2	0	1	4	0	3	0	0	12	1	2	4	1	1	0	1	0	1	6	2	1	3	4	1	0	0	5	1	0	1	0	1	7	1	0	0	0	0	0	0	5	36	0	20	0	1	0	2	2	1
gene_3301552	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	3	0	0	0	0	24	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0
gene_330999	13	0	1	0	0	1	0	2	2	1	0	0	0	0	1	0	1	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_3331569	10	4	0	0	2	0	0	4	0	2	3	1	16	0	7	0	3	10	9	2	1	13	6	17	0	5	0	0	8	4	0	0	0	2	1	0	2	0	0	1	0	0	0	2	0	1	0	8	1	0	10	1	0	0	1	2	2	3	2	2	1	0	1	0	0	0	0	0	4	2	0	0	2	0	8	0	0	1	0	0	0	0	7	24	0	13	1	3	3	3	5	3
gene_3335434	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	25	0	0	0	1	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
gene_3350018	2	1	0	0	2	0	0	4	0	1	0	0	8	0	0	0	1	3	4	0	0	0	0	4	1	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1
gene_3360374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_3368809	74	21	20	2	26	3	2	44	4	29	35	27	34	3	14	2	9	76	23	24	11	35	18	46	5	21	10	2	44	37	0	2	3	0	1	1	2	0	0	1	1	4	2	0	0	3	1	5	2	2	81	2	2	4	0	1	0	2	4	8	0	1	2	0	1	2	0	1	2	1	0	1	2	1	10	2	0	1	0	0	0	0	8	22	0	12	0	1	3	0	2	0
gene_3380511	1	2	2	0	1	11	5	0	3	2	1	0	0	0	1	1	12	0	0	2	3	8	0	1	0	7	8	0	0	0	0	10	4	1	2	10	4	2	6	4	9	0	10	3	15	4	10	10	5	0	1	11	3	19	1	6	1	16	6	15	10	4	3	10	3	5	9	2	3	2	4	4	5	5	2	0	1	0	0	1	13	5	5	9	5	3	8	20	12	3	4	5
gene_3380518	98	29	14	0	25	6	0	74	2	39	56	29	19	3	23	2	5	64	21	24	15	47	10	39	4	26	14	1	41	33	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	3	41	0	0	0	1	0	2	2	3	1	0	0	3	0	1	1	0	1	0	0	0	0	4	0	3	1	1	0	0	0	0	0	1	8	0	3	2	0	1	0	0	1
gene_3413414	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	25	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_3414021	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
gene_3444040	10	7	1	0	5	2	0	3	1	1	0	0	23	1	9	1	3	10	7	1	1	8	0	16	0	3	0	0	10	0	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	2	8	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	3	0	0	3	0	0	0	0	2	5	1	15	0	0	2	1	0	0
gene_3450763	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	1	0	0	0	5	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	35	3	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	2
gene_3472734	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	2	0	3	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	4	0	0	0	0	0	0	0	3	10	0	13	0	1	3	0	2	4
gene_3474397	2	0	0	0	6	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	2	4	0	5	0	2	3	1	2	0
gene_3475476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0
gene_347574	206	56	31	2	75	8	1	144	5	61	119	72	73	9	67	10	27	199	67	44	22	145	37	148	11	59	24	3	115	116	0	0	0	1	3	2	9	0	1	5	2	5	3	2	0	16	3	10	1	4	167	2	4	3	8	1	7	15	4	18	1	1	6	2	0	1	0	2	5	1	1	3	7	0	8	0	0	2	0	0	0	0	11	43	3	18	0	3	4	1	9	4
gene_3513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	17	1	2	106	0	143	1053	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_3513119	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	23	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gene_3523042	1	2	0	0	0	0	0	0	0	0	6	4	2	0	4	0	1	6	0	0	1	5	1	1	0	1	0	0	2	3	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	4	0	0	0	0	2	1	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	1	12	1	13	0	2	2	0	0	0
gene_3526224	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_3539239	4	1	1	0	2	0	0	0	0	1	0	1	6	0	3	0	0	4	2	0	1	5	1	4	2	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	4	0	1	0	0	15	1	0	0	0	0	0	1	0	3	0	0	0	2	0	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	3	4	1	4	0	0	0	0	1	1
gene_3542132	4	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	1	5	2	4	2	2	3	0	6	2	2	8	0	0	5	8	2	8	7	9	5	9	4	1	0	0	4	4	13	10	5	0	2	0	1	10	5	0	5	1	2	1	0	4	11	1	2	0	2	0	6	2	2
gene_3558816	153	75	46	60	83	64	31	46	57	46	93	30	38	134	130	151	112	59	23	48	203	130	107	66	94	190	158	4	86	54	111	121	74	94	72	111	65	41	63	73	116	74	55	57	123	55	107	93	67	31	61	114	39	207	117	94	79	133	147	105	62	40	54	59	57	45	38	52	55	36	10	55	52	32	86	30	45	56	66	52	34	40	70	54	23	99	26	46	85	37	47	69
